symbol,description,exchange,listedMarket,securityType
MFCN25-MFCQ25,MINI CAC 40 Jul 25/Aug 25,ENID,ENID,SPREAD
MTN25-MTQ25,CAC 40 Jul 25/Aug 25,ENID,ENID,SPREAD
MTN25-MTU25,CAC 40 Jul 25/Sep 25,ENID,ENID,SPREAD
MTQ25-MTU25,CAC 40 Aug 25/Sep 25,ENID,ENID,SPREAD
